state,year,gini_index
Nebraska,2010,0.432
Nevada,2010,0.448
New Hampshire,2010,0.425
New Jersey,2010,0.464
New Mexico,2010,0.464
New York,2010,0.499
North Carolina,2010,0.464
North Dakota,2010,0.433
Ohio,2010,0.452
Oklahoma,2010,0.454
Oregon,2010,0.449
Pennsylvania,2010,0.461
Rhode Island,2010,0.467
South Carolina,2010,0.461
South Dakota,2010,0.442
Tennessee,2010,0.468
Texas,2010,0.469
Utah,2010,0.419
Vermont,2010,0.444
Virginia,2010,0.459
Washington,2010,0.441
West Virginia,2010,0.451
Wisconsin,2010,0.430
Wyoming,2010,0.423
Alabama,2011,0.474
Alaska,2011,0.410
Arizona,2011,0.460
Arkansas,2011,0.468
California,2011,0.481
Colorado,2011,0.459
Connecticut,2011,0.486
Delaware,2011,0.440
Florida,2011,0.481
Georgia,2011,0.477
Hawaii,2011,0.430
Idaho,2011,0.432
Illinois,2011,0.472
Indiana,2011,0.446
Iowa,2011,0.434
Kansas,2011,0.444
Kentucky,2011,0.471
Louisiana,2011,0.484
Maine,2011,0.451
Maryland,2011,0.447
Massachusetts,2011,0.477
Michigan,2011,0.461
Minnesota,2011,0.444
Mississippi,2011,0.474
Missouri,2011,0.461
Montana,2011,0.435
Nebraska,2011,0.447
Nevada,2011,0.453
New Hampshire,2011,0.435
New Jersey,2011,0.469
New Mexico,2011,0.482
New York,2011,0.503
North Carolina,2011,0.472
North Dakota,2011,0.445
Ohio,2011,0.459
Oklahoma,2011,0.461
Oregon,2011,0.459
Pennsylvania,2011,0.461
Rhode Island,2011,0.467
South Carolina,2011,0.465
South Dakota,2011,0.432
Tennessee,2011,0.476
Texas,2011,0.477
Utah,2011,0.425
Vermont,2011,0.431
Virginia,2011,0.463
Washington,2011,0.445
West Virginia,2011,0.472
Wisconsin,2011,0.437
Wyoming,2011,0.408
Alabama,2012,0.473
Alaska,2012,0.423
Arizona,2012,0.461
Arkansas,2012,0.463
California,2012,0.482
Colorado,2012,0.458
Connecticut,2012,0.491
Delaware,2012,0.436
Florida,2012,0.483
Georgia,2012,0.481
Hawaii,2012,0.426
Idaho,2012,0.430
Illinois,2012,0.472
Indiana,2012,0.442
Iowa,2012,0.433
Kansas,2012,0.450
Kentucky,2012,0.467
Louisiana,2012,0.486
Maine,2012,0.445
Maryland,2012,0.447
Massachusetts,2012,0.481
Michigan,2012,0.462
Minnesota,2012,0.444
Mississippi,2012,0.487
Missouri,2012,0.461
Montana,2012,0.450
Nebraska,2012,0.434
Nevada,2012,0.452
New Hampshire,2012,0.430
New Jersey,2012,0.472
New Mexico,2012,0.471
New York,2012,0.501
North Carolina,2012,0.469
North Dakota,2012,0.460
Ohio,2012,0.461
Oklahoma,2012,0.464
Oregon,2012,0.456
Pennsylvania,2012,0.464
Rhode Island,2012,0.465
South Carolina,2012,0.468
South Dakota,2012,0.433
Tennessee,2012,0.473
Texas,2012,0.477
Utah,2012,0.424
Vermont,2012,0.439
Virginia,2012,0.466
Washington,2012,0.450
West Virginia,2012,0.464
Wisconsin,2012,0.440
Wyoming,2012,0.417
Alabama,2013,0.475
Alaska,2013,0.408
Arizona,2013,0.468
Arkansas,2013,0.469
California,2013,0.490
Colorado,2013,0.461
Connecticut,2013,0.499
Delaware,2013,0.451
Florida,2013,0.484
Georgia,2013,0.484
Hawaii,2013,0.440
Idaho,2013,0.438
Illinois,2013,0.482
Indiana,2013,0.455
Iowa,2013,0.443
Kansas,2013,0.459
Kentucky,2013,0.472
Louisiana,2013,0.491
Maine,2013,0.453
Maryland,2013,0.455
Massachusetts,2013,0.484
Michigan,2013,0.464
Minnesota,2013,0.446
Mississippi,2013,0.479
Missouri,2013,0.460
Montana,2013,0.462
Nebraska,2013,0.445
Nevada,2013,0.454
New Hampshire,2013,0.439
New Jersey,2013,0.480
New Mexico,2013,0.476
New York,2013,0.510
North Carolina,2013,0.476
North Dakota,2013,0.455
Ohio,2013,0.465
Oklahoma,2013,0.462
Oregon,2013,0.460
Pennsylvania,2013,0.470
Rhode Island,2013,0.477
South Carolina,2013,0.466
South Dakota,2013,0.443
Tennessee,2013,0.478
Texas,2013,0.481
Utah,2013,0.426
Vermont,2013,0.454
Virginia,2013,0.467
Washington,2013,0.457
West Virginia,2013,0.465
Wisconsin,2013,0.445
Wyoming,2013,0.418
Alabama,2014,0.476
Alaska,2014,0.417
Arizona,2014,0.468
Arkansas,2014,0.471
California,2014,0.489
Colorado,2014,0.458
Connecticut,2014,0.500
Delaware,2014,0.449
Florida,2014,0.483
Georgia,2014,0.480
Hawaii,2014,0.432
Idaho,2014,0.454
Illinois,2014,0.476
Indiana,2014,0.445
Iowa,2014,0.443
Kansas,2014,0.460
Kentucky,2014,0.470
Louisiana,2014,0.490
Maine,2014,0.459
Maryland,2014,0.449
Massachusetts,2014,0.486
Michigan,2014,0.460
Minnesota,2014,0.454
Mississippi,2014,0.476
Missouri,2014,0.463
Montana,2014,0.454
Nebraska,2014,0.435
Nevada,2014,0.443
New Hampshire,2014,0.441
New Jersey,2014,0.476
New Mexico,2014,0.477
New York,2014,0.511
North Carolina,2014,0.475
North Dakota,2014,0.466
Ohio,2014,0.464
Oklahoma,2014,0.466
Oregon,2014,0.462
Pennsylvania,2014,0.469
Rhode Island,2014,0.483
South Carolina,2014,0.469
South Dakota,2014,0.447
Tennessee,2014,0.481
Texas,2014,0.483
Utah,2014,0.428
Vermont,2014,0.441
Virginia,2014,0.466
Washington,2014,0.454
West Virginia,2014,0.455
Wisconsin,2014,0.440
Wyoming,2014,0.427
Alabama,2015,0.481
Alaska,2015,0.432
Arizona,2015,0.470
Arkansas,2015,0.477
California,2015,0.488
Colorado,2015,0.458
Connecticut,2015,0.492
Delaware,2015,0.452
Florida,2015,0.487
Georgia,2015,0.480
Hawaii,2015,0.435
Idaho,2015,0.453
Illinois,2015,0.482
Indiana,2015,0.452
Iowa,2015,0.439
Kansas,2015,0.460
Kentucky,2015,0.478
Louisiana,2015,0.491
Maine,2015,0.452
Maryland,2015,0.452
Massachusetts,2015,0.485
Michigan,2015,0.467
Minnesota,2015,0.449
Mississippi,2015,0.476
Missouri,2015,0.463
Montana,2015,0.462
Nebraska,2015,0.447
