YEAR,STATE,STATE_ABV,VEP,VEP_TURNOUT_RATE,TOTAL_BALLOTS_COUNTED,VAP
2008,Tennessee,TN,"4,562,424",57.39%,2618238,4771926
2008,Texas,TX,"14,921,530",,,17756112
2008,Utah,UT,"1,701,049",57.09%,971185,1840087
2008,Vermont,VT,"482,758",67.70%,326822,492610
2008,Virginia,VA,"5,557,344",67.53%,3753059,6022123
2008,Washington,WA,"4,560,012",67.36%,3071587,5032960
2008,West Virginia,WV,"1,430,218",51.16%,731691,1453045
2008,Wisconsin,WI,"4,120,029",72.74%,2997086,4306876
2008,Wyoming,WY,"405,766",63.10%,256035,418040
2004,Alabama,AL,"3,309,755",57.11%,1890317,3427542
2004,Alaska,AK,"449,083",70.03%,314502,476378
2004,Arizona,AZ,"3,658,926",55.70%,2038069,4215706
2004,Arkansas,AR,"1,972,057",54.29%,1070573,2072986
2004,California,CA,"21,035,883",59.85%,12589367,26246548
2004,Colorado,CO,"3,157,788",68.02%,2148036,3443164
2004,Connecticut,CT,"2,436,378",65.99%,1607808,2652587
2004,Delaware,DE,"588,633",64.12%,377407,635370
2004,Florida,FL,"11,885,513",64.28%,7640319,13643828
2004,Georgia,GA,"5,775,727",57.44%,3317336,6499325
2004,Hawaii,HI,"899,288",48.00%,431662,982882
2004,Idaho,ID,"943,617",64.94%,612786,1016255
2004,Illinois,IL,"8,501,813",62.93%,5350493,9391420
2004,Indiana,IN,"4,510,573",55.69%,2512142,4660157
2004,Iowa,IA,"2,158,396",70.51%,1521966,2239979
2004,Kansas,KS,"1,924,522",63.03%,1213108,2032763
2004,Kentucky,KY,"3,061,375",59.35%,1816867,3157464
2004,Louisiana,LA,"3,238,731",60.41%,1956590,3379937
2004,Maine,ME,"1,005,690",74.73%,751519,1022043
2004,Maryland,MD,"3,802,045",63.01%,2395791,4179376
2004,Massachusetts,MA,"4,510,816",64.90%,2927455,4935787
2004,Michigan,MI,"7,204,686",67.67%,4875692,7508568
2004,Minnesota,MN,"3,600,480",78.96%,2842912,3819020
2004,Mississippi,MS,"2,075,007",,,2133681
2004,Missouri,MO,"4,181,874",66.11%,2764635,4339414
2004,Montana,MT,"700,939",65.07%,456096,711858
2004,Nebraska,NE,"1,239,369",63.98%,792906,1305430
2004,Nevada,NV,"1,521,561",54.65%,831563,1776962
2004,New Hampshire,NH,"950,479",71.93%,683672,984422
2004,New Jersey,NJ,"5,637,382",64.54%,3638153,6513394
