state,state_abbr,year,real_gdp_millions_chained_2017_dollars,source_table,line_code
South Dakota,SD,2000,32124.9,SAGDP9N,1
South Dakota,SD,2001,32396.9,SAGDP9N,1
South Dakota,SD,2002,35776.0,SAGDP9N,1
South Dakota,SD,2003,36141.9,SAGDP9N,1
South Dakota,SD,2004,37616.6,SAGDP9N,1
South Dakota,SD,2005,39330.6,SAGDP9N,1
South Dakota,SD,2006,39961.6,SAGDP9N,1
South Dakota,SD,2007,41646.2,SAGDP9N,1
South Dakota,SD,2008,43278.5,SAGDP9N,1
South Dakota,SD,2009,44255.8,SAGDP9N,1
South Dakota,SD,2010,44810.7,SAGDP9N,1
South Dakota,SD,2011,47630.3,SAGDP9N,1
South Dakota,SD,2012,48653.9,SAGDP9N,1
South Dakota,SD,2013,48610.1,SAGDP9N,1
South Dakota,SD,2014,49640.9,SAGDP9N,1
South Dakota,SD,2015,50860.8,SAGDP9N,1
South Dakota,SD,2016,51264.3,SAGDP9N,1
South Dakota,SD,2017,51615.1,SAGDP9N,1
South Dakota,SD,2018,51937.8,SAGDP9N,1
South Dakota,SD,2019,52510.2,SAGDP9N,1
South Dakota,SD,2020,52770.7,SAGDP9N,1
South Dakota,SD,2021,55515.9,SAGDP9N,1
South Dakota,SD,2022,55259.8,SAGDP9N,1
South Dakota,SD,2023,57275.1,SAGDP9N,1
Tennessee,TN,2000,251030.2,SAGDP9N,1
Tennessee,TN,2001,250311.4,SAGDP9N,1
Tennessee,TN,2002,258542.4,SAGDP9N,1
Tennessee,TN,2003,267589.4,SAGDP9N,1
Tennessee,TN,2004,281564.2,SAGDP9N,1
Tennessee,TN,2005,289064.3,SAGDP9N,1
Tennessee,TN,2006,295668.2,SAGDP9N,1
Tennessee,TN,2007,294819.8,SAGDP9N,1
Tennessee,TN,2008,298526.9,SAGDP9N,1
Tennessee,TN,2009,287308.8,SAGDP9N,1
Tennessee,TN,2010,292687.0,SAGDP9N,1
Tennessee,TN,2011,301508.9,SAGDP9N,1
Tennessee,TN,2012,311754.2,SAGDP9N,1
Tennessee,TN,2013,318347.9,SAGDP9N,1
Tennessee,TN,2014,323879.6,SAGDP9N,1
Tennessee,TN,2015,335461.1,SAGDP9N,1
Tennessee,TN,2016,343544.9,SAGDP9N,1
Tennessee,TN,2017,355417.5,SAGDP9N,1
Tennessee,TN,2018,362363.7,SAGDP9N,1
Tennessee,TN,2019,370197.4,SAGDP9N,1
Tennessee,TN,2020,367863.6,SAGDP9N,1
Tennessee,TN,2021,400243.6,SAGDP9N,1
Tennessee,TN,2022,414470.8,SAGDP9N,1
Tennessee,TN,2023,422087.7,SAGDP9N,1
Texas,TX,2000,989904.9,SAGDP9N,1
Texas,TX,2001,1020517.0,SAGDP9N,1
Texas,TX,2002,1042584.4,SAGDP9N,1
Texas,TX,2003,1052132.3,SAGDP9N,1
Texas,TX,2004,1111189.1,SAGDP9N,1
Texas,TX,2005,1143413.1,SAGDP9N,1
Texas,TX,2006,1225147.3,SAGDP9N,1
Texas,TX,2007,1288828.7,SAGDP9N,1
Texas,TX,2008,1287191.5,SAGDP9N,1
Texas,TX,2009,1285560.2,SAGDP9N,1
Texas,TX,2010,1323059.1,SAGDP9N,1
Texas,TX,2011,1370174.9,SAGDP9N,1
Texas,TX,2012,1438354.4,SAGDP9N,1
