state,state_abbr,year,real_gdp_millions_chained_2017_dollars,source_table,line_code
Indiana,IN,2000,278990.4,SAGDP9N,1
Indiana,IN,2001,273884.4,SAGDP9N,1
Indiana,IN,2002,280723.0,SAGDP9N,1
Indiana,IN,2003,293045.2,SAGDP9N,1
Indiana,IN,2004,303819.8,SAGDP9N,1
Indiana,IN,2005,306344.6,SAGDP9N,1
Indiana,IN,2006,312525.5,SAGDP9N,1
Indiana,IN,2007,322661.7,SAGDP9N,1
Indiana,IN,2008,322384.3,SAGDP9N,1
Indiana,IN,2009,299789.0,SAGDP9N,1
Indiana,IN,2010,320731.8,SAGDP9N,1
Indiana,IN,2011,321532.8,SAGDP9N,1
Indiana,IN,2012,323876.2,SAGDP9N,1
Indiana,IN,2013,333207.4,SAGDP9N,1
Indiana,IN,2014,343827.8,SAGDP9N,1
Indiana,IN,2015,341205.2,SAGDP9N,1
Indiana,IN,2016,348439.2,SAGDP9N,1
Indiana,IN,2017,357535.8,SAGDP9N,1
Indiana,IN,2018,368762.9,SAGDP9N,1
Indiana,IN,2019,370507.2,SAGDP9N,1
Indiana,IN,2020,359787.3,SAGDP9N,1
Indiana,IN,2021,387122.0,SAGDP9N,1
Indiana,IN,2022,399280.8,SAGDP9N,1
Indiana,IN,2023,404290.3,SAGDP9N,1
Iowa,IA,2000,129323.4,SAGDP9N,1
Iowa,IA,2001,128077.5,SAGDP9N,1
Iowa,IA,2002,131035.2,SAGDP9N,1
Iowa,IA,2003,137476.9,SAGDP9N,1
Iowa,IA,2004,149063.2,SAGDP9N,1
Iowa,IA,2005,153626.8,SAGDP9N,1
Iowa,IA,2006,155704.5,SAGDP9N,1
Iowa,IA,2007,162838.1,SAGDP9N,1
Iowa,IA,2008,160469.1,SAGDP9N,1
Iowa,IA,2009,156737.2,SAGDP9N,1
Iowa,IA,2010,161593.1,SAGDP9N,1
Iowa,IA,2011,164559.3,SAGDP9N,1
Iowa,IA,2012,170923.7,SAGDP9N,1
Iowa,IA,2013,171069.1,SAGDP9N,1
Iowa,IA,2014,180309.9,SAGDP9N,1
Iowa,IA,2015,185989.2,SAGDP9N,1
Iowa,IA,2016,186729.9,SAGDP9N,1
Iowa,IA,2017,187125.0,SAGDP9N,1
Iowa,IA,2018,189245.1,SAGDP9N,1
Iowa,IA,2019,188471.4,SAGDP9N,1
Iowa,IA,2020,186328.2,SAGDP9N,1
