state,state_abbr,year,real_gdp_millions_chained_2017_dollars,source_table,line_code
Hawaii,HI,2000,60745.7,SAGDP9N,1
Hawaii,HI,2001,60446.4,SAGDP9N,1
Hawaii,HI,2002,62355.2,SAGDP9N,1
Hawaii,HI,2003,65623.7,SAGDP9N,1
Hawaii,HI,2004,69332.0,SAGDP9N,1
Hawaii,HI,2005,72941.9,SAGDP9N,1
Hawaii,HI,2006,74892.9,SAGDP9N,1
Hawaii,HI,2007,76434.1,SAGDP9N,1
Hawaii,HI,2008,76830.2,SAGDP9N,1
Hawaii,HI,2009,74118.5,SAGDP9N,1
Hawaii,HI,2010,76130.2,SAGDP9N,1
Hawaii,HI,2011,77174.2,SAGDP9N,1
Hawaii,HI,2012,78694.0,SAGDP9N,1
Hawaii,HI,2013,80534.9,SAGDP9N,1
Hawaii,HI,2014,81304.9,SAGDP9N,1
Hawaii,HI,2015,83857.6,SAGDP9N,1
Hawaii,HI,2016,85670.4,SAGDP9N,1
Hawaii,HI,2017,87436.4,SAGDP9N,1
Hawaii,HI,2018,88836.4,SAGDP9N,1
Hawaii,HI,2019,88855.2,SAGDP9N,1
Hawaii,HI,2020,79840.1,SAGDP9N,1
Hawaii,HI,2021,84408.5,SAGDP9N,1
Hawaii,HI,2022,86887.8,SAGDP9N,1
Hawaii,HI,2023,88614.3,SAGDP9N,1
Idaho,ID,2000,49793.0,SAGDP9N,1
Idaho,ID,2001,48695.4,SAGDP9N,1
Idaho,ID,2002,49840.5,SAGDP9N,1
Idaho,ID,2003,51542.6,SAGDP9N,1
Idaho,ID,2004,55137.1,SAGDP9N,1
Idaho,ID,2005,59331.9,SAGDP9N,1
Idaho,ID,2006,60738.6,SAGDP9N,1
Idaho,ID,2007,61812.1,SAGDP9N,1
Idaho,ID,2008,63878.2,SAGDP9N,1
Idaho,ID,2009,61276.1,SAGDP9N,1
Idaho,ID,2010,62626.4,SAGDP9N,1
Idaho,ID,2011,62704.0,SAGDP9N,1
Idaho,ID,2012,62007.3,SAGDP9N,1
Idaho,ID,2013,64769.8,SAGDP9N,1
Idaho,ID,2014,66784.9,SAGDP9N,1
Idaho,ID,2015,67790.5,SAGDP9N,1
Idaho,ID,2016,70442.5,SAGDP9N,1
Idaho,ID,2017,72935.1,SAGDP9N,1
Idaho,ID,2018,77652.1,SAGDP9N,1
Idaho,ID,2019,81144.3,SAGDP9N,1
Idaho,ID,2020,82717.4,SAGDP9N,1
Idaho,ID,2021,88969.6,SAGDP9N,1
Idaho,ID,2022,92903.7,SAGDP9N,1
Idaho,ID,2023,95897.9,SAGDP9N,1
Illinois,IL,2000,687111.4,SAGDP9N,1
Illinois,IL,2001,688404.3,SAGDP9N,1
Illinois,IL,2002,692398.1,SAGDP9N,1
Illinois,IL,2003,703548.8,SAGDP9N,1
Illinois,IL,2004,726139.0,SAGDP9N,1
Illinois,IL,2005,741248.6,SAGDP9N,1
Illinois,IL,2006,759825.7,SAGDP9N,1
Illinois,IL,2007,769571.6,SAGDP9N,1
Illinois,IL,2008,759095.3,SAGDP9N,1
Illinois,IL,2009,740794.3,SAGDP9N,1
Illinois,IL,2010,755391.4,SAGDP9N,1
Illinois,IL,2011,772225.6,SAGDP9N,1
Illinois,IL,2012,790723.3,SAGDP9N,1
Illinois,IL,2013,795435.2,SAGDP9N,1
Illinois,IL,2014,811490.1,SAGDP9N,1
Illinois,IL,2015,825424.9,SAGDP9N,1
Illinois,IL,2016,826404.7,SAGDP9N,1
Illinois,IL,2017,832826.8,SAGDP9N,1
Illinois,IL,2018,851517.2,SAGDP9N,1
Illinois,IL,2019,858018.3,SAGDP9N,1
Illinois,IL,2020,810200.9,SAGDP9N,1
Illinois,IL,2021,855888.1,SAGDP9N,1
Illinois,IL,2022,876536.0,SAGDP9N,1
Illinois,IL,2023,885651.3,SAGDP9N,1
Indiana,IN,2000,278990.4,SAGDP9N,1
Indiana,IN,2001,273884.4,SAGDP9N,1
Indiana,IN,2002,280723.0,SAGDP9N,1
Indiana,IN,2003,293045.2,SAGDP9N,1
Indiana,IN,2004,303819.8,SAGDP9N,1
Indiana,IN,2005,306344.6,SAGDP9N,1
Indiana,IN,2006,312525.5,SAGDP9N,1
Indiana,IN,2007,322661.7,SAGDP9N,1
Indiana,IN,2008,322384.3,SAGDP9N,1
Indiana,IN,2009,299789.0,SAGDP9N,1
Indiana,IN,2010,320731.8,SAGDP9N,1
Indiana,IN,2011,321532.8,SAGDP9N,1
Indiana,IN,2012,323876.2,SAGDP9N,1
Indiana,IN,2013,333207.4,SAGDP9N,1
Indiana,IN,2014,343827.8,SAGDP9N,1
Indiana,IN,2015,341205.2,SAGDP9N,1
Indiana,IN,2016,348439.2,SAGDP9N,1
Indiana,IN,2017,357535.8,SAGDP9N,1
Indiana,IN,2018,368762.9,SAGDP9N,1
Indiana,IN,2019,370507.2,SAGDP9N,1
Indiana,IN,2020,359787.3,SAGDP9N,1
Indiana,IN,2021,387122.0,SAGDP9N,1
Indiana,IN,2022,399280.8,SAGDP9N,1
Indiana,IN,2023,404290.3,SAGDP9N,1
Iowa,IA,2000,129323.4,SAGDP9N,1
Iowa,IA,2001,128077.5,SAGDP9N,1
Iowa,IA,2002,131035.2,SAGDP9N,1
Iowa,IA,2003,137476.9,SAGDP9N,1
Iowa,IA,2004,149063.2,SAGDP9N,1
Iowa,IA,2005,153626.8,SAGDP9N,1
Iowa,IA,2006,155704.5,SAGDP9N,1
Iowa,IA,2007,162838.1,SAGDP9N,1
Iowa,IA,2008,160469.1,SAGDP9N,1
Iowa,IA,2009,156737.2,SAGDP9N,1
Iowa,IA,2010,161593.1,SAGDP9N,1
Iowa,IA,2011,164559.3,SAGDP9N,1
Iowa,IA,2012,170923.7,SAGDP9N,1
Iowa,IA,2013,171069.1,SAGDP9N,1
Iowa,IA,2014,180309.9,SAGDP9N,1
Iowa,IA,2015,185989.2,SAGDP9N,1
Iowa,IA,2016,186729.9,SAGDP9N,1
Iowa,IA,2017,187125.0,SAGDP9N,1
Iowa,IA,2018,189245.1,SAGDP9N,1
Iowa,IA,2019,188471.4,SAGDP9N,1
Iowa,IA,2020,186328.2,SAGDP9N,1
Iowa,IA,2021,201147.1,SAGDP9N,1
Iowa,IA,2022,201580.4,SAGDP9N,1
Iowa,IA,2023,202051.4,SAGDP9N,1
Kansas,KS,2000,118840.9,SAGDP9N,1
Kansas,KS,2001,119474.1,SAGDP9N,1
Kansas,KS,2002,121050.5,SAGDP9N,1
Kansas,KS,2003,123486.7,SAGDP9N,1
Kansas,KS,2004,124793.2,SAGDP9N,1
Kansas,KS,2005,129588.2,SAGDP9N,1
Kansas,KS,2006,136135.8,SAGDP9N,1
Kansas,KS,2007,143586.6,SAGDP9N,1
Kansas,KS,2008,147265.0,SAGDP9N,1
Kansas,KS,2009,141902.5,SAGDP9N,1
Kansas,KS,2010,143870.1,SAGDP9N,1
Kansas,KS,2011,147836.8,SAGDP9N,1
Kansas,KS,2012,150077.1,SAGDP9N,1
Kansas,KS,2013,150702.9,SAGDP9N,1
Kansas,KS,2014,154110.1,SAGDP9N,1
Kansas,KS,2015,158602.6,SAGDP9N,1
Kansas,KS,2016,164643.7,SAGDP9N,1
Kansas,KS,2017,166273.6,SAGDP9N,1
Kansas,KS,2018,169796.9,SAGDP9N,1
Kansas,KS,2019,169562.3,SAGDP9N,1
Kansas,KS,2020,168056.8,SAGDP9N,1
Kansas,KS,2021,172782.4,SAGDP9N,1
Kansas,KS,2022,177470.1,SAGDP9N,1
Kansas,KS,2023,183795.6,SAGDP9N,1
Kentucky,KY,2000,161101.0,SAGDP9N,1
Kentucky,KY,2001,161316.4,SAGDP9N,1
Kentucky,KY,2002,165435.3,SAGDP9N,1
Kentucky,KY,2003,170481.9,SAGDP9N,1
Kentucky,KY,2004,175344.6,SAGDP9N,1
Kentucky,KY,2005,182017.9,SAGDP9N,1
Kentucky,KY,2006,186332.6,SAGDP9N,1
Kentucky,KY,2007,185790.0,SAGDP9N,1
Kentucky,KY,2008,186515.9,SAGDP9N,1
Kentucky,KY,2009,178112.8,SAGDP9N,1
Kentucky,KY,2010,186720.6,SAGDP9N,1
Kentucky,KY,2011,188389.8,SAGDP9N,1
Kentucky,KY,2012,192060.1,SAGDP9N,1
Kentucky,KY,2013,196698.0,SAGDP9N,1
Kentucky,KY,2014,196795.8,SAGDP9N,1
Kentucky,KY,2015,199487.1,SAGDP9N,1
Kentucky,KY,2016,201007.2,SAGDP9N,1
Kentucky,KY,2017,203564.0,SAGDP9N,1
Kentucky,KY,2018,205940.1,SAGDP9N,1
Kentucky,KY,2019,211783.1,SAGDP9N,1
Kentucky,KY,2020,206049.6,SAGDP9N,1
Kentucky,KY,2021,215133.2,SAGDP9N,1
Kentucky,KY,2022,219755.6,SAGDP9N,1
Kentucky,KY,2023,224418.0,SAGDP9N,1
Louisiana,LA,2000,206556.1,SAGDP9N,1
Louisiana,LA,2001,210534.7,SAGDP9N,1
Louisiana,LA,2002,214856.1,SAGDP9N,1
Louisiana,LA,2003,223576.0,SAGDP9N,1
Louisiana,LA,2004,234620.8,SAGDP9N,1
Louisiana,LA,2005,249560.9,SAGDP9N,1
Louisiana,LA,2006,247139.7,SAGDP9N,1
Louisiana,LA,2007,234216.4,SAGDP9N,1
Louisiana,LA,2008,237061.6,SAGDP9N,1
Louisiana,LA,2009,241868.8,SAGDP9N,1
Louisiana,LA,2010,253466.9,SAGDP9N,1
Louisiana,LA,2011,241235.9,SAGDP9N,1
Louisiana,LA,2012,242416.8,SAGDP9N,1
Louisiana,LA,2013,236482.3,SAGDP9N,1
Louisiana,LA,2014,243042.9,SAGDP9N,1
Louisiana,LA,2015,239584.1,SAGDP9N,1
Louisiana,LA,2016,235554.2,SAGDP9N,1
Louisiana,LA,2017,239830.7,SAGDP9N,1
Louisiana,LA,2018,245220.3,SAGDP9N,1
Louisiana,LA,2019,246674.4,SAGDP9N,1
Louisiana,LA,2020,228951.3,SAGDP9N,1
Louisiana,LA,2021,237839.2,SAGDP9N,1
Louisiana,LA,2022,236854.1,SAGDP9N,1
Louisiana,LA,2023,248615.5,SAGDP9N,1
Maine,ME,2000,52958.5,SAGDP9N,1
Maine,ME,2001,54066.2,SAGDP9N,1
Maine,ME,2002,55406.5,SAGDP9N,1
Maine,ME,2003,56882.4,SAGDP9N,1
Maine,ME,2004,58934.8,SAGDP9N,1
Maine,ME,2005,59589.7,SAGDP9N,1
Maine,ME,2006,59986.0,SAGDP9N,1
Maine,ME,2007,60032.6,SAGDP9N,1
Maine,ME,2008,59845.1,SAGDP9N,1
Maine,ME,2009,58771.8,SAGDP9N,1
Maine,ME,2010,59958.5,SAGDP9N,1
Maine,ME,2011,59429.7,SAGDP9N,1
Maine,ME,2012,59181.7,SAGDP9N,1
Maine,ME,2013,59013.9,SAGDP9N,1
Maine,ME,2014,59589.8,SAGDP9N,1
Maine,ME,2015,60563.0,SAGDP9N,1
Maine,ME,2016,62037.1,SAGDP9N,1
Maine,ME,2017,63000.6,SAGDP9N,1
Maine,ME,2018,64806.3,SAGDP9N,1
Maine,ME,2019,66758.4,SAGDP9N,1
Maine,ME,2020,67410.9,SAGDP9N,1
Maine,ME,2021,71142.4,SAGDP9N,1
Maine,ME,2022,73036.2,SAGDP9N,1
Maine,ME,2023,75195.4,SAGDP9N,1
Maryland,MD,2000,269301.2,SAGDP9N,1
Maryland,MD,2001,281053.6,SAGDP9N,1
Maryland,MD,2002,290400.3,SAGDP9N,1
Maryland,MD,2003,297690.6,SAGDP9N,1
Maryland,MD,2004,311504.8,SAGDP9N,1
Maryland,MD,2005,325644.5,SAGDP9N,1
Maryland,MD,2006,329874.0,SAGDP9N,1
Maryland,MD,2007,331763.5,SAGDP9N,1
Maryland,MD,2008,338165.4,SAGDP9N,1
