state,state_abbr,year,real_gdp_millions_chained_2017_dollars,source_table,line_code
New Mexico,NM,2000,72733.8,SAGDP9N,1
New Mexico,NM,2001,72996.4,SAGDP9N,1
New Mexico,NM,2002,75345.9,SAGDP9N,1
New Mexico,NM,2003,78766.8,SAGDP9N,1
New Mexico,NM,2004,85751.0,SAGDP9N,1
New Mexico,NM,2005,86295.9,SAGDP9N,1
New Mexico,NM,2006,88554.5,SAGDP9N,1
New Mexico,NM,2007,89392.3,SAGDP9N,1
New Mexico,NM,2008,89012.9,SAGDP9N,1
New Mexico,NM,2009,90829.2,SAGDP9N,1
New Mexico,NM,2010,90721.0,SAGDP9N,1
New Mexico,NM,2011,90552.3,SAGDP9N,1
New Mexico,NM,2012,90762.4,SAGDP9N,1
New Mexico,NM,2013,90104.0,SAGDP9N,1
New Mexico,NM,2014,92621.1,SAGDP9N,1
New Mexico,NM,2015,93503.9,SAGDP9N,1
New Mexico,NM,2016,93043.5,SAGDP9N,1
New Mexico,NM,2017,93210.1,SAGDP9N,1
New Mexico,NM,2018,96077.0,SAGDP9N,1
New Mexico,NM,2019,100342.2,SAGDP9N,1
New Mexico,NM,2020,97622.4,SAGDP9N,1
New Mexico,NM,2021,100917.6,SAGDP9N,1
New Mexico,NM,2022,103301.6,SAGDP9N,1
New Mexico,NM,2023,110323.7,SAGDP9N,1
New York,NY,2000,1217036.4,SAGDP9N,1
New York,NY,2001,1240755.2,SAGDP9N,1
New York,NY,2002,1228580.8,SAGDP9N,1
New York,NY,2003,1236563.1,SAGDP9N,1
New York,NY,2004,1269433.1,SAGDP9N,1
New York,NY,2005,1301438.0,SAGDP9N,1
New York,NY,2006,1339568.5,SAGDP9N,1
New York,NY,2007,1353798.9,SAGDP9N,1
New York,NY,2008,1328095.7,SAGDP9N,1
New York,NY,2009,1379504.6,SAGDP9N,1
New York,NY,2010,1431624.0,SAGDP9N,1
New York,NY,2011,1440346.8,SAGDP9N,1
New York,NY,2012,1496280.1,SAGDP9N,1
New York,NY,2013,1501818.0,SAGDP9N,1
New York,NY,2014,1535375.9,SAGDP9N,1
New York,NY,2015,1565835.2,SAGDP9N,1
New York,NY,2016,1590567.8,SAGDP9N,1
New York,NY,2017,1624800.7,SAGDP9N,1
New York,NY,2018,1665186.8,SAGDP9N,1
New York,NY,2019,1704364.3,SAGDP9N,1
New York,NY,2020,1656784.8,SAGDP9N,1
New York,NY,2021,1736222.3,SAGDP9N,1
New York,NY,2022,1765102.1,SAGDP9N,1
New York,NY,2023,1791210.7,SAGDP9N,1
North Carolina,NC,2000,384115.3,SAGDP9N,1
North Carolina,NC,2001,387433.9,SAGDP9N,1
North Carolina,NC,2002,393685.9,SAGDP9N,1
North Carolina,NC,2003,404582.5,SAGDP9N,1
North Carolina,NC,2004,420579.4,SAGDP9N,1
North Carolina,NC,2005,442305.6,SAGDP9N,1
North Carolina,NC,2006,470663.9,SAGDP9N,1
North Carolina,NC,2007,477920.8,SAGDP9N,1
North Carolina,NC,2008,492688.8,SAGDP9N,1
North Carolina,NC,2009,473610.5,SAGDP9N,1
North Carolina,NC,2010,482030.4,SAGDP9N,1
North Carolina,NC,2011,484200.3,SAGDP9N,1
North Carolina,NC,2012,488126.5,SAGDP9N,1
North Carolina,NC,2013,497456.6,SAGDP9N,1
North Carolina,NC,2014,509782.4,SAGDP9N,1
North Carolina,NC,2015,525229.1,SAGDP9N,1
North Carolina,NC,2016,536308.5,SAGDP9N,1
North Carolina,NC,2017,546810.1,SAGDP9N,1
North Carolina,NC,2018,556573.7,SAGDP9N,1
North Carolina,NC,2019,567975.0,SAGDP9N,1
North Carolina,NC,2020,564504.4,SAGDP9N,1
North Carolina,NC,2021,600217.3,SAGDP9N,1
North Carolina,NC,2022,619537.2,SAGDP9N,1
North Carolina,NC,2023,638067.3,SAGDP9N,1
North Dakota,ND,2000,24990.2,SAGDP9N,1
North Dakota,ND,2001,25329.8,SAGDP9N,1
North Dakota,ND,2002,26592.1,SAGDP9N,1
North Dakota,ND,2003,28326.7,SAGDP9N,1
North Dakota,ND,2004,28636.2,SAGDP9N,1
North Dakota,ND,2005,29629.0,SAGDP9N,1
North Dakota,ND,2006,30911.4,SAGDP9N,1
North Dakota,ND,2007,32529.0,SAGDP9N,1
North Dakota,ND,2008,35030.4,SAGDP9N,1
North Dakota,ND,2009,35971.3,SAGDP9N,1
