state,state_abbr,year,real_gdp_millions_chained_2017_dollars,source_table,line_code
Massachusetts,MA,2000,382599.6,SAGDP9N,1
Massachusetts,MA,2001,388180.8,SAGDP9N,1
Massachusetts,MA,2002,388451.6,SAGDP9N,1
Massachusetts,MA,2003,397069.9,SAGDP9N,1
Massachusetts,MA,2004,407886.0,SAGDP9N,1
Massachusetts,MA,2005,417075.6,SAGDP9N,1
Massachusetts,MA,2006,426926.1,SAGDP9N,1
Massachusetts,MA,2007,440373.8,SAGDP9N,1
Massachusetts,MA,2008,447526.8,SAGDP9N,1
Massachusetts,MA,2009,441307.6,SAGDP9N,1
Massachusetts,MA,2010,462330.8,SAGDP9N,1
Massachusetts,MA,2011,472664.3,SAGDP9N,1
Massachusetts,MA,2012,483286.3,SAGDP9N,1
Massachusetts,MA,2013,486991.8,SAGDP9N,1
Massachusetts,MA,2014,496250.9,SAGDP9N,1
Massachusetts,MA,2015,514398.7,SAGDP9N,1
Massachusetts,MA,2016,521662.8,SAGDP9N,1
Massachusetts,MA,2017,530129.4,SAGDP9N,1
Massachusetts,MA,2018,549262.1,SAGDP9N,1
Massachusetts,MA,2019,566326.8,SAGDP9N,1
Massachusetts,MA,2020,559765.0,SAGDP9N,1
Massachusetts,MA,2021,595911.8,SAGDP9N,1
Massachusetts,MA,2022,608052.9,SAGDP9N,1
Massachusetts,MA,2023,615504.5,SAGDP9N,1
Michigan,MI,2000,467654.4,SAGDP9N,1
Michigan,MI,2001,453301.5,SAGDP9N,1
Michigan,MI,2002,465788.4,SAGDP9N,1
Michigan,MI,2003,477085.4,SAGDP9N,1
Michigan,MI,2004,485082.7,SAGDP9N,1
Michigan,MI,2005,493796.3,SAGDP9N,1
Michigan,MI,2006,483763.6,SAGDP9N,1
Michigan,MI,2007,482935.1,SAGDP9N,1
Michigan,MI,2008,455256.7,SAGDP9N,1
Michigan,MI,2009,416297.1,SAGDP9N,1
Michigan,MI,2010,441271.5,SAGDP9N,1
Michigan,MI,2011,453989.1,SAGDP9N,1
Michigan,MI,2012,463302.6,SAGDP9N,1
Michigan,MI,2013,472779.9,SAGDP9N,1
Michigan,MI,2014,479534.9,SAGDP9N,1
Michigan,MI,2015,490618.7,SAGDP9N,1
Michigan,MI,2016,500159.5,SAGDP9N,1
Michigan,MI,2017,505101.5,SAGDP9N,1
Michigan,MI,2018,516843.0,SAGDP9N,1
Michigan,MI,2019,521085.1,SAGDP9N,1
Michigan,MI,2020,501893.8,SAGDP9N,1
Michigan,MI,2021,530380.9,SAGDP9N,1
Michigan,MI,2022,543720.9,SAGDP9N,1
Michigan,MI,2023,554256.2,SAGDP9N,1
Minnesota,MN,2000,263345.6,SAGDP9N,1
Minnesota,MN,2001,263518.7,SAGDP9N,1
Minnesota,MN,2002,268982.8,SAGDP9N,1
Minnesota,MN,2003,280796.9,SAGDP9N,1
Minnesota,MN,2004,293753.9,SAGDP9N,1
Minnesota,MN,2005,301761.2,SAGDP9N,1
Minnesota,MN,2006,302272.7,SAGDP9N,1
Minnesota,MN,2007,304208.0,SAGDP9N,1
Minnesota,MN,2008,309290.4,SAGDP9N,1
Minnesota,MN,2009,296875.2,SAGDP9N,1
Minnesota,MN,2010,308091.9,SAGDP9N,1
Minnesota,MN,2011,315213.3,SAGDP9N,1
Minnesota,MN,2012,321053.9,SAGDP9N,1
Minnesota,MN,2013,329774.5,SAGDP9N,1
Minnesota,MN,2014,338623.9,SAGDP9N,1
Minnesota,MN,2015,345456.2,SAGDP9N,1
Minnesota,MN,2016,350603.6,SAGDP9N,1
Minnesota,MN,2017,354721.9,SAGDP9N,1
Minnesota,MN,2018,364799.7,SAGDP9N,1
Minnesota,MN,2019,369617.4,SAGDP9N,1
Minnesota,MN,2020,357475.6,SAGDP9N,1
Minnesota,MN,2021,377947.0,SAGDP9N,1
Minnesota,MN,2022,384727.7,SAGDP9N,1
Minnesota,MN,2023,390907.9,SAGDP9N,1
Mississippi,MS,2000,93957.0,SAGDP9N,1
Mississippi,MS,2001,93515.5,SAGDP9N,1
Mississippi,MS,2002,94561.5,SAGDP9N,1
Mississippi,MS,2003,98762.1,SAGDP9N,1
Mississippi,MS,2004,101369.5,SAGDP9N,1
Mississippi,MS,2005,103691.8,SAGDP9N,1
Mississippi,MS,2006,105879.9,SAGDP9N,1
Mississippi,MS,2007,107713.9,SAGDP9N,1
Mississippi,MS,2008,109434.0,SAGDP9N,1
Mississippi,MS,2009,105360.0,SAGDP9N,1
Mississippi,MS,2010,106711.8,SAGDP9N,1
Mississippi,MS,2011,106491.1,SAGDP9N,1
Mississippi,MS,2012,108646.5,SAGDP9N,1
Mississippi,MS,2013,109032.7,SAGDP9N,1
Mississippi,MS,2014,109299.6,SAGDP9N,1
