state,state_abbr,year,E2_PCPI_NOMINAL_USD
Washington,WA,2000,32538
Washington,WA,2001,32986
Washington,WA,2002,33222
Washington,WA,2003,34267
Washington,WA,2004,36309
Washington,WA,2005,37202
Washington,WA,2006,39744
Washington,WA,2007,42524
Washington,WA,2008,44098
Washington,WA,2009,41679
Washington,WA,2010,42327
Washington,WA,2011,44279
Washington,WA,2012,47053
Washington,WA,2013,47448
Washington,WA,2014,50259
Washington,WA,2015,52408
Washington,WA,2016,54296
Washington,WA,2017,56800
Washington,WA,2018,59824
Washington,WA,2019,63431
Washington,WA,2020,67619
Washington,WA,2021,73628
Washington,WA,2022,75580
Washington,WA,2023,80472
West Virginia,WV,2000,22275
West Virginia,WV,2001,23731
West Virginia,WV,2002,24506
West Virginia,WV,2003,24804
West Virginia,WV,2004,25628
West Virginia,WV,2005,26836
West Virginia,WV,2006,28528
West Virginia,WV,2007,29544
West Virginia,WV,2008,31494
West Virginia,WV,2009,31653
West Virginia,WV,2010,32642
West Virginia,WV,2011,34490
West Virginia,WV,2012,35233
West Virginia,WV,2013,35093
West Virginia,WV,2014,36243
West Virginia,WV,2015,37068
West Virginia,WV,2016,37075
West Virginia,WV,2017,38841
West Virginia,WV,2018,41001
West Virginia,WV,2019,42615
West Virginia,WV,2020,44867
West Virginia,WV,2021,48792
West Virginia,WV,2022,50131
West Virginia,WV,2023,52813
Wisconsin,WI,2000,29493
Wisconsin,WI,2001,30812
Wisconsin,WI,2002,31406
Wisconsin,WI,2003,32084
Wisconsin,WI,2004,33319
Wisconsin,WI,2005,34218
Wisconsin,WI,2006,36047
Wisconsin,WI,2007,37522
Wisconsin,WI,2008,38857
Wisconsin,WI,2009,38138
Wisconsin,WI,2010,39048
Wisconsin,WI,2011,41067
Wisconsin,WI,2012,42639
Wisconsin,WI,2013,42685
Wisconsin,WI,2014,44156
Wisconsin,WI,2015,45928
Wisconsin,WI,2016,46595
Wisconsin,WI,2017,48311
Wisconsin,WI,2018,50520
Wisconsin,WI,2019,52370
Wisconsin,WI,2020,55428
Wisconsin,WI,2021,60449
Wisconsin,WI,2022,61851
Wisconsin,WI,2023,64763
Wyoming,WY,2000,29426
Wyoming,WY,2001,31215
Wyoming,WY,2002,31810
Wyoming,WY,2003,33642
Wyoming,WY,2004,35921
Wyoming,WY,2005,38907
Wyoming,WY,2006,43805
Wyoming,WY,2007,45634
Wyoming,WY,2008,49451
Wyoming,WY,2009,44499
Wyoming,WY,2010,46395
Wyoming,WY,2011,50631
Wyoming,WY,2012,53597
Wyoming,WY,2013,52835
Wyoming,WY,2014,56251
Wyoming,WY,2015,56120
Wyoming,WY,2016,53419
Wyoming,WY,2017,56378
Wyoming,WY,2018,59197
Wyoming,WY,2019,61853
Wyoming,WY,2020,65094
Wyoming,WY,2021,70962
Wyoming,WY,2022,76394
Wyoming,WY,2023,81918
