state_abv,state,year,real_gdp_millions_chained_2017_dollars,manufacturing_va_millions_current_dollars,all_industry_gdp_millions_current_dollars,manufacturing_va_share_pct
WI,Wisconsin,2000,248572.0,44281.6,180883.1,24.48078345
WI,Wisconsin,2001,252941.8,42971.5,188662.8,22.77688023
WI,Wisconsin,2002,257966.9,43018.9,195541.5,21.99988238
WI,Wisconsin,2003,265745.8,43600.0,203814.0,21.39205354
WI,Wisconsin,2004,275412.4,45098.1,216370.4,20.84300810
WI,Wisconsin,2005,282065.7,46695.4,226937.5,20.57632608
WI,Wisconsin,2006,287146.6,50114.0,237571.9,21.09424557
WI,Wisconsin,2007,289855.2,49716.4,245837.7,20.22326112
WI,Wisconsin,2008,286204.7,46559.3,246493.0,18.88869055
WI,Wisconsin,2009,277279.4,44686.8,246323.8,18.14148694
WI,Wisconsin,2010,287652.9,48020.0,256159.5,18.74613278
WI,Wisconsin,2011,293664.0,50056.1,265444.0,18.85749913
WI,Wisconsin,2012,299007.6,53966.5,276253.4,19.53514418
WI,Wisconsin,2013,301550.5,55647.7,283791.4,19.60866326
WI,Wisconsin,2014,309425.8,56641.2,296169.9,19.12456330
WI,Wisconsin,2015,315687.8,57972.0,308304.5,18.80348811
WI,Wisconsin,2016,319272.3,57641.8,315420.0,18.27461797
WI,Wisconsin,2017,321886.8,56187.8,321886.8,17.45576395
WI,Wisconsin,2018,328832.4,57579.8,335144.3,17.18059952
WI,Wisconsin,2019,333256.8,60258.5,346906.6,17.37023741
WI,Wisconsin,2020,322470.6,58606.8,343272.2,17.07298173
WI,Wisconsin,2021,334514.0,62041.0,368880.4,16.81873041
WI,Wisconsin,2022,339747.9,66250.2,400621.4,16.53685999
WI,Wisconsin,2023,344570.8,71255.4,428447.1,16.63108468
WY,Wyoming,2000,26614.2,973.9,17153.7,5.67749232
WY,Wyoming,2001,28338.1,1328.4,18741.7,7.08793759
WY,Wyoming,2002,28901.3,955.5,19160.8,4.98674377
WY,Wyoming,2003,29806.6,1145.9,21199.0,5.40544365
WY,Wyoming,2004,30780.1,1306.4,23418.1,5.57859092
WY,Wyoming,2005,32463.1,1509.4,27530.2,5.48270626
WY,Wyoming,2006,36655.6,1891.4,32692.2,5.78547788
WY,Wyoming,2007,39504.8,2871.9,36912.8,7.78022800
WY,Wyoming,2008,41641.2,3414.0,42694.6,7.99632740
WY,Wyoming,2009,40599.6,1555.3,36282.2,4.28667501
WY,Wyoming,2010,39135.8,1697.6,37567.5,4.51879949
WY,Wyoming,2011,38929.8,2053.1,39615.1,5.18261976
WY,Wyoming,2012,38085.0,2511.0,38679.3,6.49184447
WY,Wyoming,2013,38408.7,1872.9,39365.6,4.75770724
WY,Wyoming,2014,39287.2,1675.5,40573.9,4.12950197
WY,Wyoming,2015,40063.9,2213.5,38624.8,5.73077401
WY,Wyoming,2016,37853.5,1620.3,36105.9,4.48763222
WY,Wyoming,2017,37620.3,1987.0,37620.3,5.28172290
WY,Wyoming,2018,37977.2,2565.1,39614.5,6.47515430
WY,Wyoming,2019,38577.1,2856.8,40029.5,7.13673666
WY,Wyoming,2020,36198.2,1991.6,36709.6,5.42528385
WY,Wyoming,2021,37131.8,3182.1,42319.1,7.51929980
WY,Wyoming,2022,37827.2,4473.5,49782.6,8.98607144
WY,Wyoming,2023,40210.8,4406.2,51990.5,8.47500986
