state_abv,state,year,real_gdp_millions_chained_2017_dollars,manufacturing_va_millions_current_dollars,all_industry_gdp_millions_current_dollars,manufacturing_va_share_pct
NC,North Carolina,2000,384115.3,70592.0,277556.1,25.43341688
NC,North Carolina,2001,387433.9,70566.8,287317.1,24.56059873
NC,North Carolina,2002,393685.9,69143.3,297653.0,23.22949878
NC,North Carolina,2003,404582.5,69487.0,310200.3,22.40068756
NC,North Carolina,2004,420579.4,68698.1,329017.7,20.87975814
NC,North Carolina,2005,442305.6,72033.7,354798.5,20.30270703
NC,North Carolina,2006,470663.9,86041.3,388012.1,22.17490125
NC,North Carolina,2007,477920.8,87545.5,402188.3,21.76729159
NC,North Carolina,2008,492688.8,85260.8,420707.2,20.26606628
NC,North Carolina,2009,473610.5,89302.0,413096.8,21.61769348
NC,North Carolina,2010,482030.4,88125.8,422282.2,20.86893551
NC,North Carolina,2011,484200.3,86773.1,430040.1,20.17790899
NC,North Carolina,2012,488126.5,84133.4,444063.2,18.94626711
NC,North Carolina,2013,497456.6,91065.1,460946.4,19.75611481
NC,North Carolina,2014,509782.4,89282.3,482295.7,18.51194195
NC,North Carolina,2015,525229.1,95221.1,508672.4,18.71953344
NC,North Carolina,2016,536308.5,93696.6,528284.3,17.73601828
NC,North Carolina,2017,546810.1,91652.6,546810.1,16.76132171
NC,North Carolina,2018,556573.7,92679.2,568037.3,16.31568913
NC,North Carolina,2019,567975.0,89156.1,592449.6,15.04872313
NC,North Carolina,2020,564504.4,89501.7,600683.3,14.89998140
NC,North Carolina,2021,600217.3,92531.0,662147.1,13.97438726
NC,North Carolina,2022,619537.2,98398.8,728498.7,13.50706597
NC,North Carolina,2023,638067.3,104807.3,788103.2,13.29867713
ND,North Dakota,2000,24990.2,1323.5,18115.1,7.30605959
ND,North Dakota,2001,25329.8,1664.1,18976.9,8.76908241
ND,North Dakota,2002,26592.1,1758.9,20195.6,8.70932282
ND,North Dakota,2003,28326.7,2005.2,22129.9,9.06104411
ND,North Dakota,2004,28636.2,2090.1,23209.6,9.00532538
ND,North Dakota,2005,29629.0,2417.8,24572.0,9.83965489
ND,North Dakota,2006,30911.4,2599.5,26406.5,9.84416716
ND,North Dakota,2007,32529.0,2672.1,29044.6,9.19998898
ND,North Dakota,2008,35030.4,2922.2,32027.7,9.12397706
ND,North Dakota,2009,35971.3,2580.1,32310.4,7.98535456
ND,North Dakota,2010,38697.4,2551.9,35651.8,7.15784336
ND,North Dakota,2011,43300.4,2710.8,41602.1,6.51601722
ND,North Dakota,2012,53326.8,3241.6,52079.1,6.22437792
ND,North Dakota,2013,54690.9,3384.5,54877.0,6.16742898
ND,North Dakota,2014,60193.0,3595.8,61108.3,5.88430704
ND,North Dakota,2015,58694.5,3714.2,56952.2,6.52160935
ND,North Dakota,2016,54756.0,3320.2,52666.3,6.30422111
ND,North Dakota,2017,56530.2,3588.3,56530.2,6.34758059
ND,North Dakota,2018,58516.4,3433.4,60377.1,5.68659310
ND,North Dakota,2019,59408.5,3901.4,60892.5,6.40702878
ND,North Dakota,2020,55850.6,3853.3,55568.5,6.93432430
ND,North Dakota,2021,56419.2,4346.1,63838.5,6.80796071
ND,North Dakota,2022,55988.0,4964.9,73780.0,6.72933044
ND,North Dakota,2023,60348.6,5695.7,76043.3,7.49007473
OH,Ohio,2000,541005.9,88558.9,391032.3,22.64746416
OH,Ohio,2001,534612.4,82035.7,395864.2,20.72319245
OH,Ohio,2002,546688.2,83774.2,411191.1,20.37354408
OH,Ohio,2003,557024.5,84158.2,425530.7,19.77723346
OH,Ohio,2004,572308.5,89082.0,447813.3,19.89266509
OH,Ohio,2005,584867.7,91275.7,470179.5,19.41294761
OH,Ohio,2006,582637.6,92877.9,482904.0,19.23320163
OH,Ohio,2007,585403.0,92714.6,497600.1,18.63235156
OH,Ohio,2008,580389.0,86538.6,500916.4,17.27605644
OH,Ohio,2009,550982.4,75295.3,484407.1,15.54380603
OH,Ohio,2010,563816.3,81378.3,500274.2,16.26673932
OH,Ohio,2011,580251.4,91558.9,525456.4,17.42464265
OH,Ohio,2012,586540.9,91900.5,543035.4,16.92348234
OH,Ohio,2013,603057.4,93857.2,566419.9,16.57025115
OH,Ohio,2014,624973.4,103353.7,597152.3,17.30776219
OH,Ohio,2015,633274.8,101995.2,615275.5,16.57715934
OH,Ohio,2016,638157.5,100412.1,627294.7,16.00716537
OH,Ohio,2017,652187.5,102938.7,652187.5,15.78360517
OH,Ohio,2018,656212.0,106587.9,672540.1,15.84855684
OH,Ohio,2019,674063.9,106153.2,702914.8,15.10185872
OH,Ohio,2020,655243.3,97467.5,692683.7,14.07099662
OH,Ohio,2021,690478.9,113147.7,763595.8,14.81774782
OH,Ohio,2022,695257.9,129790.9,832660.7,15.58748960
OH,Ohio,2023,709816.6,134010.5,884834.2,15.14526676
OK,Oklahoma,2000,121170.2,12747.3,91645.7,13.90932690
OK,Oklahoma,2001,125695.7,12418.9,97505.3,12.73664098
OK,Oklahoma,2002,127930.2,11559.4,99916.9,11.56901385
OK,Oklahoma,2003,130147.8,12617.3,106175.1,11.88348304
OK,Oklahoma,2004,134606.6,12635.9,114237.5,11.06107889
OK,Oklahoma,2005,140360.1,13828.6,125961.4,10.97844260
OK,Oklahoma,2006,149367.1,16167.1,138352.3,11.68545807
OK,Oklahoma,2007,152879.6,15890.9,146582.4,10.84093315
OK,Oklahoma,2008,158987.8,18599.9,161609.0,11.50919813
OK,Oklahoma,2009,156856.8,15317.6,147332.4,10.39662695
OK,Oklahoma,2010,158086.4,14277.9,155267.5,9.19567843
OK,Oklahoma,2011,163859.3,16165.0,167207.9,9.66760542
OK,Oklahoma,2012,172016.0,17761.1,175361.2,10.12829520
OK,Oklahoma,2013,176086.8,16860.2,184104.6,9.15794608
OK,Oklahoma,2014,186574.4,17688.1,197074.1,8.97535496
OK,Oklahoma,2015,193792.6,17641.4,187364.7,9.41554092
OK,Oklahoma,2016,190093.5,15416.6,182238.8,8.45955965
OK,Oklahoma,2017,192538.6,16541.9,192538.6,8.59147205
OK,Oklahoma,2018,196030.5,18332.2,204193.9,8.97783920
OK,Oklahoma,2019,200072.2,19130.0,205992.7,9.28673686
OK,Oklahoma,2020,191560.9,16540.1,192516.2,8.59153671
OK,Oklahoma,2021,194132.8,16787.4,217786.5,7.70819128
OK,Oklahoma,2022,193940.5,18822.3,245976.2,7.65208179
OK,Oklahoma,2023,207923.3,20798.1,256689.4,8.10243820
OR,Oregon,2000,145094.2,21867.7,117057.2,18.68120884
OR,Oregon,2001,144486.5,19320.1,117002.4,16.51256726
OR,Oregon,2002,147432.8,20610.4,120556.1,17.09610712
OR,Oregon,2003,154445.3,22339.7,126822.1,17.61498982
OR,Oregon,2004,163046.1,25682.4,136495.9,18.81551021
OR,Oregon,2005,168734.4,25458.1,143556.3,17.73387862
OR,Oregon,2006,177222.4,26811.6,153779.6,17.43508242
OR,Oregon,2007,180724.3,26339.5,159676.2,16.49557041
OR,Oregon,2008,184842.6,26705.6,164122.9,16.27170858
OR,Oregon,2009,176951.6,24682.6,159330.4,15.49145675
OR,Oregon,2010,180738.2,25356.8,163150.5,15.54196892
OR,Oregon,2011,185959.4,27385.8,169693.8,16.13836216
OR,Oregon,2012,187352.4,26347.2,173856.8,15.15454098
OR,Oregon,2013,189609.7,27048.9,178975.4,15.11319433
OR,Oregon,2014,195808.2,27223.5,187837.6,14.49310468
OR,Oregon,2015,205581.8,28678.0,200592.6,14.29663906
OR,Oregon,2016,214769.3,29039.0,211782.4,13.71171542
OR,Oregon,2017,225534.5,31143.7,225534.5,13.80884078
OR,Oregon,2018,234308.3,31993.1,238466.9,13.41615964
OR,Oregon,2019,239794.8,31424.1,248781.8,12.63118926
OR,Oregon,2020,237424.2,32266.4,251577.7,12.82562008
OR,Oregon,2021,250325.8,34035.9,275653.1,12.34736703
OR,Oregon,2022,256062.7,37375.3,298848.0,12.50645813
