state_abv,state,year,real_gdp_millions_chained_2017_dollars,manufacturing_va_millions_current_dollars,all_industry_gdp_millions_current_dollars,manufacturing_va_share_pct
SD,South Dakota,2000,32124.9,3157.0,22866.7,13.80610232
SD,South Dakota,2001,32396.9,2751.5,23626.9,11.64562427
SD,South Dakota,2002,35776.0,3677.0,26343.5,13.95790233
SD,South Dakota,2003,36141.9,2561.9,27305.0,9.38253067
SD,South Dakota,2004,37616.6,2886.1,29380.9,9.82304831
SD,South Dakota,2005,39330.6,3061.2,31104.3,9.84172606
SD,South Dakota,2006,39961.6,3251.2,32559.3,9.98547266
SD,South Dakota,2007,41646.2,3524.6,35282.6,9.98962661
SD,South Dakota,2008,43278.5,3482.1,36939.3,9.42654571
SD,South Dakota,2009,44255.8,3202.0,36732.1,8.71717108
SD,South Dakota,2010,44810.7,3337.1,38208.2,8.73398904
SD,South Dakota,2011,47630.3,3810.6,42082.7,9.05502736
SD,South Dakota,2012,48653.9,3842.0,44127.3,8.70662832
SD,South Dakota,2013,48610.1,3966.9,45498.6,8.71872981
SD,South Dakota,2014,49640.9,4116.7,47159.9,8.72923819
SD,South Dakota,2015,50860.8,4306.5,48678.9,8.84674880
SD,South Dakota,2016,51264.3,4535.4,49842.6,9.09944505
SD,South Dakota,2017,51615.1,4503.8,51615.1,8.72574111
SD,South Dakota,2018,51937.8,4441.6,53349.5,8.32547634
SD,South Dakota,2019,52510.2,4112.1,55175.8,7.45272384
SD,South Dakota,2020,52770.7,4459.3,56254.4,7.92702437
SD,South Dakota,2021,55515.9,5004.8,62984.8,7.94604412
SD,South Dakota,2022,55259.8,5216.9,69069.3,7.55313866
SD,South Dakota,2023,57275.1,5583.9,74033.9,7.54235560
TN,Tennessee,2000,251030.2,34068.3,182209.7,18.69730316
TN,Tennessee,2001,250311.4,34094.5,185917.2,18.33853995
TN,Tennessee,2002,258542.4,34997.5,195386.1,17.91197020
TN,Tennessee,2003,267589.4,36644.8,204665.9,17.90469248
