state_abv,state,year,real_gdp_millions_chained_2017_dollars,manufacturing_va_millions_current_dollars,all_industry_gdp_millions_current_dollars,manufacturing_va_share_pct
KY,Kentucky,2000,161101.0,24510.7,114549.6,21.39745577
KY,Kentucky,2001,161316.4,24076.7,117767.9,20.44419574
KY,Kentucky,2002,165435.3,25010.0,122731.2,20.37786643
KY,Kentucky,2003,170481.9,25720.8,128289.6,20.04901411
KY,Kentucky,2004,175344.6,26530.0,135694.5,19.55127142
KY,Kentucky,2005,182017.9,27442.0,144914.9,18.93663108
KY,Kentucky,2006,186332.6,30202.7,153009.8,19.73906247
KY,Kentucky,2007,185790.0,28707.3,156900.0,18.29655832
KY,Kentucky,2008,186515.9,27576.8,160700.2,17.16040179
KY,Kentucky,2009,178112.8,24407.4,157440.1,15.50265784
KY,Kentucky,2010,186720.6,28210.9,166656.3,16.92759290
KY,Kentucky,2011,188389.8,28714.4,171238.1,16.76869809
KY,Kentucky,2012,192060.1,32779.6,178370.6,18.37724378
KY,Kentucky,2013,196698.0,34469.5,184920.6,18.64016232
KY,Kentucky,2014,196795.8,34425.4,188326.4,18.27964640
KY,Kentucky,2015,199487.1,34837.9,194621.2,17.90036234
KY,Kentucky,2016,201007.2,34347.1,197944.8,17.35185769
KY,Kentucky,2017,203564.0,35880.9,203564.0,17.62634847
KY,Kentucky,2018,205940.1,36653.1,210509.1,17.41164634
KY,Kentucky,2019,211783.1,39157.2,220678.8,17.74397903
KY,Kentucky,2020,206049.6,36065.4,218539.7,16.50290542
KY,Kentucky,2021,215133.2,38100.7,238428.9,15.97990009
KY,Kentucky,2022,219755.6,42198.0,261540.7,16.13439132
KY,Kentucky,2023,224418.0,45078.6,279707.5,16.11633582
LA,Louisiana,2000,206556.1,19465.8,132375.8,14.70495362
LA,Louisiana,2001,210534.7,18266.6,138204.3,13.21709961
LA,Louisiana,2002,214856.1,21108.6,140082.8,15.06865939
LA,Louisiana,2003,223576.0,29938.6,155198.7,19.29049663
LA,Louisiana,2004,234620.8,37668.9,170999.6,22.02864802
LA,Louisiana,2005,249560.9,57415.7,199314.2,28.80662793
LA,Louisiana,2006,247139.7,53059.0,207249.8,25.60147223
LA,Louisiana,2007,234216.4,46398.3,203771.3,22.76979143
LA,Louisiana,2008,237061.6,43001.9,213803.5,20.11281387
LA,Louisiana,2009,241868.8,37499.1,206111.5,18.19359910
LA,Louisiana,2010,253466.9,49342.4,226555.6,21.77937778
LA,Louisiana,2011,241235.9,50071.4,230518.7,21.72118791
LA,Louisiana,2012,242416.8,52278.7,235960.9,22.15566223
LA,Louisiana,2013,236482.3,43626.7,231652.7,18.83280445
LA,Louisiana,2014,243042.9,47351.0,240965.0,19.65057166
LA,Louisiana,2015,239584.1,42765.7,234324.2,18.25065444
LA,Louisiana,2016,235554.2,36031.7,227440.3,15.84226718
LA,Louisiana,2017,239830.7,41517.9,239830.7,17.31133671
LA,Louisiana,2018,245220.3,49941.9,256444.4,19.47474774
LA,Louisiana,2019,246674.4,47175.3,257499.0,18.32057600
LA,Louisiana,2020,228951.3,35123.2,236216.3,14.86908397
LA,Louisiana,2021,237839.2,44707.6,267263.6,16.72790459
LA,Louisiana,2022,236854.1,54559.0,298424.5,18.28234612
LA,Louisiana,2023,248615.5,57814.6,314988.6,18.35450553
ME,Maine,2000,52958.5,5277.7,37222.0,14.17898017
ME,Maine,2001,54066.2,4661.3,38925.7,11.97486493
ME,Maine,2002,55406.5,4496.4,40664.1,11.05741920
ME,Maine,2003,56882.4,4492.1,42493.4,10.57128872
ME,Maine,2004,58934.8,4912.3,45233.1,10.85996759
ME,Maine,2005,59589.7,5059.8,47028.1,10.75909935
ME,Maine,2006,59986.0,5200.5,48889.3,10.63729691
ME,Maine,2007,60032.6,5381.0,50291.3,10.69966376
ME,Maine,2008,59845.1,5412.7,51001.9,10.61274188
ME,Maine,2009,58771.8,5457.7,51451.2,10.60752713
ME,Maine,2010,59958.5,5585.9,52802.5,10.57885517
ME,Maine,2011,59429.7,5398.6,53104.5,10.16599347
ME,Maine,2012,59181.7,5434.1,54018.5,10.05970177
ME,Maine,2013,59013.9,5351.5,54924.8,9.74332178
ME,Maine,2014,59589.8,5450.2,56537.4,9.63999052
ME,Maine,2015,60563.0,5333.3,58755.8,9.07706133
ME,Maine,2016,62037.1,5571.8,61092.2,9.12031323
ME,Maine,2017,63000.6,5933.7,63000.6,9.41848173
ME,Maine,2018,64806.3,6176.6,66216.0,9.32795699
ME,Maine,2019,66758.4,6539.6,69708.7,9.38132543
ME,Maine,2020,67410.9,6999.7,72077.1,9.71140626
ME,Maine,2021,71142.4,7588.7,79193.9,9.58242996
ME,Maine,2022,73036.2,8069.3,86493.3,9.32939314
ME,Maine,2023,75195.4,8466.5,93270.0,9.07740967
MD,Maryland,2000,269301.2,13735.5,191430.2,7.17520015
MD,Maryland,2001,281053.6,14829.8,205276.0,7.22432238
MD,Maryland,2002,290400.3,15414.4,217001.4,7.10336431
MD,Maryland,2003,297690.6,14493.7,226803.4,6.39042448
MD,Maryland,2004,311504.8,15282.8,243449.8,6.27759809
MD,Maryland,2005,325644.5,14943.1,261795.3,5.70793288
MD,Maryland,2006,329874.0,15932.1,273791.0,5.81907367
MD,Maryland,2007,331763.5,16796.6,282618.2,5.94321243
MD,Maryland,2008,338165.4,17383.5,292908.3,5.93479256
MD,Maryland,2009,336285.8,18676.4,298282.8,6.26130638
MD,Maryland,2010,352622.9,19098.9,313930.5,6.08379880
MD,Maryland,2011,360155.9,19179.9,324920.9,5.90294438
MD,Maryland,2012,361561.8,17925.5,331869.0,5.40137825
MD,Maryland,2013,364633.2,19027.5,339895.8,5.59803916
MD,Maryland,2014,370343.9,18942.4,351743.1,5.38529398
MD,Maryland,2015,378745.9,19314.7,367314.1,5.25836062
MD,Maryland,2016,391950.9,20574.1,386496.4,5.32323199
