state_abv,state,year,real_gdp_millions_chained_2017_dollars,manufacturing_va_millions_current_dollars,all_industry_gdp_millions_current_dollars,manufacturing_va_share_pct
MO,Missouri,2000,262665.4,30437.3,187012.8,16.27551697
MO,Missouri,2001,260381.1,29593.9,190388.7,15.54393722
MO,Missouri,2002,264997.7,29754.8,197399.0,15.07342996
MO,Missouri,2003,271970.5,31095.4,206005.2,15.09447334
MO,Missouri,2004,279128.2,31807.6,216977.5,14.65940017
MO,Missouri,2005,285341.7,32118.7,227594.6,14.11224168
MO,Missouri,2006,286558.3,31880.9,235816.9,13.51934488
MO,Missouri,2007,288320.8,31914.0,244085.3,13.07493733
MO,Missouri,2008,297881.8,31878.7,256431.1,12.43168243
MO,Missouri,2009,289566.8,30236.3,254306.2,11.88972192
MO,Missouri,2010,295986.4,32065.6,262013.4,12.23815271
MO,Missouri,2011,292984.2,31400.2,263330.0,11.92427752
MO,Missouri,2012,296514.3,34881.8,272482.4,12.80148736
MO,Missouri,2013,302025.7,35368.7,282659.7,12.51282019
MO,Missouri,2014,303617.8,36089.2,289340.7,12.47290824
MO,Missouri,2015,308009.9,38568.2,299597.7,12.87332980
MO,Missouri,2016,308423.3,36219.1,304143.3,11.90856415
MO,Missouri,2017,311273.8,35939.9,311273.8,11.54607294
MO,Missouri,2018,314182.4,35933.5,320451.6,11.21339385
MO,Missouri,2019,321329.1,38125.5,334750.2,11.38923890
MO,Missouri,2020,315332.6,38474.4,335285.1,11.47512967
MO,Missouri,2021,331580.9,41735.5,366441.5,11.38940322
MO,Missouri,2022,339652.4,46106.3,400265.1,11.51894082
MO,Missouri,2023,348487.4,50538.1,430114.4,11.74992049
MT,Montana,2000,32513.7,1361.2,21935.4,6.20549432
MT,Montana,2001,32689.6,1392.9,22798.0,6.10974647
MT,Montana,2002,33663.8,1270.0,23886.0,5.31692205
MT,Montana,2003,35249.5,1597.9,25781.1,6.19795121
MT,Montana,2004,36949.9,1807.0,28138.8,6.42173796
MT,Montana,2005,38849.0,1974.9,30823.7,6.40708286
MT,Montana,2006,40055.0,2159.9,33088.0,6.52774420
MT,Montana,2007,42057.7,2728.9,36116.1,7.55590997
MT,Montana,2008,42049.3,2138.0,37028.0,5.77400886
MT,Montana,2009,40938.4,1567.3,35880.0,4.36817168
MT,Montana,2010,42469.8,1930.7,38080.3,5.07007560
MT,Montana,2011,43532.2,2570.4,40592.3,6.33223542
MT,Montana,2012,44329.1,2618.7,42150.2,6.21278191
MT,Montana,2013,45114.7,2586.3,43584.0,5.93405837
MT,Montana,2014,46166.7,2890.1,45203.8,6.39348904
MT,Montana,2015,47765.6,3148.2,46542.4,6.76415484
MT,Montana,2016,47189.6,2254.8,45859.4,4.91676734
MT,Montana,2017,48470.5,3252.0,48470.5,6.70923551
MT,Montana,2018,49455.0,3762.7,51152.1,7.35590523
MT,Montana,2019,50263.5,3054.1,52715.6,5.79354119
MT,Montana,2020,49981.4,2337.1,52958.8,4.41305317
MT,Montana,2021,53303.7,3303.3,60399.7,5.46906690
MT,Montana,2022,55193.9,4371.1,68702.0,6.36240575
MT,Montana,2023,57373.3,4329.7,73254.5,5.91049014
NE,Nebraska,2000,80268.2,7781.4,56582.7,13.75225997
NE,Nebraska,2001,82268.1,7764.9,59634.3,13.02086215
NE,Nebraska,2002,83433.2,7396.5,61569.5,12.01325332
