"st","state","year","democracy_mcmc","democracy_mcmc_sd","democracy_mcmc_se","democracy_additive"
"MS","Mississippi",2018,-1.38222365177183,0.288340746501359,0.00288340746501359,-1.62078538041311
"MS","Mississippi",2017,-1.16302838538398,0.285129651444345,0.00285129651444345,-1.18757633206628
"MS","Mississippi",2016,-1.16523344308659,0.283907321687417,0.00283907321687417,-1.18757633206628
"MS","Mississippi",2015,-0.618421743959076,0.284859042156451,0.00284859042156451,-1.23445801579325
"MS","Mississippi",2014,-0.617412396024597,0.282821276342968,0.00282821276342968,-1.23445801579325
"MS","Mississippi",2013,-0.47030443770193,0.286486017766722,0.00286486017766722,-1.32008677385806
"MS","Mississippi",2012,-0.466420891283374,0.282988010086274,0.00282988010086274,-1.27212978549236
"MS","Mississippi",2011,-0.146066066301335,0.286862378582863,0.00286862378582863,-1.22179387905903
"MS","Mississippi",2010,-0.135627329427073,0.289532436789135,0.00289532436789135,-1.20995811632105
"MS","Mississippi",2009,0.0475565345811266,0.289192502438358,0.00289192502438358,-1.28967147579902
"MS","Mississippi",2008,0.0266999825069564,0.285932624183111,0.00285932624183111,-1.37410716057957
"MS","Mississippi",2007,0.0868205779749627,0.28582290569116,0.0028582290569116,-1.37316154885186
"MS","Mississippi",2006,0.0248525771749778,0.28292611523312,0.0028292611523312,-1.52303669961465
"MS","Mississippi",2005,-0.0730356623103798,0.28540654176659,0.0028540654176659,-1.36851057647249
"MS","Mississippi",2004,-0.0622973919022054,0.283065285314267,0.00283065285314267,-1.33727355232968
"MS","Mississippi",2003,-0.26877419265934,0.284482794223082,0.00284482794223082,-1.58294238039223
"MS","Mississippi",2002,-0.286332138936247,0.282631638402927,0.00282631638402927,-1.63540833327618
"MS","Mississippi",2001,-0.0287926939099172,0.289580507138589,0.00289580507138589,-1.29840945932866
"MS","Mississippi",2000,-0.0447513981658486,0.281821178844706,0.00281821178844706,-1.39772999283297
"MO","Missouri",2023,-1.47007450601425,0.282259597169718,0.00282259597169718,-0.685784569352088
"MO","Missouri",2022,-1.47503952964947,0.289078816750891,0.00289078816750891,-0.685784569352088
"MO","Missouri",2021,-1.7073020993637,0.283572045904204,0.00283572045904204,-0.685114381177584
"MO","Missouri",2020,-1.70924111103549,0.286759664475752,0.00286759664475752,-0.685114381177584
"MO","Missouri",2019,-1.8590668936584,0.283168855011596,0.00283168855011596,-0.997627799000601
"MO","Missouri",2018,-2.08680679155242,0.28364984723164,0.0028364984723164,-1.68556065071946
"MO","Missouri",2017,-2.00341670499716,0.286048511313264,0.00286048511313264,-1.4664952128289
"MO","Missouri",2016,-2.14149741718212,0.280550374771746,0.00280550374771746,-1.69580616340186
"MO","Missouri",2015,-1.89115889627232,0.285517979461343,0.00285517979461343,-1.57668947035575
"MO","Missouri",2014,-1.89621776227023,0.284657762841684,0.00284657762841684,-1.57668947035575
"MO","Missouri",2013,-2.15860467028265,0.287657661178738,0.00287657661178738,-2.07352950730207
"MO","Missouri",2012,-2.13493620072028,0.28641433709551,0.0028641433709551,-2.13337093572025
"MO","Missouri",2011,-1.44890794298707,0.286210017553102,0.00286210017553102,-1.76952004682117
"MO","Missouri",2010,-1.43747507011758,0.280518862433996,0.00280518862433996,-1.71424851377772
"MO","Missouri",2009,-1.31054696178942,0.285441516295268,0.00285441516295268,-1.44805390516543
"MO","Missouri",2008,-1.30442334702129,0.28459086645019,0.0028459086645019,-1.4397316534082
"MO","Missouri",2007,-1.38061414784951,0.28298157101039,0.0028298157101039,-1.54423294140537
"MO","Missouri",2006,-1.29056351833015,0.282302778490784,0.00282302778490784,-1.30050276711732
"MO","Missouri",2005,-1.29741590705523,0.28423194278402,0.0028423194278402,-1.11129957320889
"MO","Missouri",2004,-1.29209508909691,0.279972571805217,0.00279972571805217,-1.10556074043265
