state_abv,state,year,manufacturing_va_millions_current_dollars,all_industry_gdp_millions_current_dollars,manufacturing_va_share_pct
WV,West Virginia,2001,5393.0,44105.1,12.22761087
WV,West Virginia,2002,5550.0,45627.4,12.16374372
WV,West Virginia,2003,5453.6,47230.4,11.54680037
WV,West Virginia,2004,5685.9,49865.9,11.40238119
WV,West Virginia,2005,6184.8,53814.3,11.49285599
WV,West Virginia,2006,6412.3,57204.1,11.20951121
WV,West Virginia,2007,5946.4,59480.4,9.99724279
WV,West Virginia,2008,6157.6,62978.7,9.77727390
WV,West Virginia,2009,6629.2,64040.1,10.35163905
WV,West Virginia,2010,6269.1,66160.4,9.47560777
WV,West Virginia,2011,6707.4,69367.6,9.66935572
WV,West Virginia,2012,6834.0,70303.1,9.72076623
WV,West Virginia,2013,7184.0,71758.6,10.01134359
WV,West Virginia,2014,6994.2,73042.6,9.57550799
WV,West Virginia,2015,6695.4,71713.4,9.33633045
WV,West Virginia,2016,6787.1,71248.9,9.52590145
WV,West Virginia,2017,7533.2,75172.4,10.02123120
WV,West Virginia,2018,8052.0,79794.3,10.09094635
WV,West Virginia,2019,7289.1,80242.4,9.08385093
WV,West Virginia,2020,7041.9,77430.9,9.09443129
WV,West Virginia,2021,8154.6,86550.5,9.42178266
WV,West Virginia,2022,8677.2,98290.0,8.82816156
WV,West Virginia,2023,8811.9,102151.8,8.62627971
WI,Wisconsin,2000,44281.6,180883.1,24.48078345
WI,Wisconsin,2001,42971.5,188662.8,22.77688023
WI,Wisconsin,2002,43018.9,195541.5,21.99988238
WI,Wisconsin,2003,43600.0,203814.0,21.39205354
WI,Wisconsin,2004,45098.1,216370.4,20.84300810
WI,Wisconsin,2005,46695.4,226937.5,20.57632608
WI,Wisconsin,2006,50114.0,237571.9,21.09424557
WI,Wisconsin,2007,49716.4,245837.7,20.22326112
WI,Wisconsin,2008,46559.3,246493.0,18.88869055
WI,Wisconsin,2009,44686.8,246323.8,18.14148694
WI,Wisconsin,2010,48020.0,256159.5,18.74613278
WI,Wisconsin,2011,50056.1,265444.0,18.85749913
WI,Wisconsin,2012,53966.5,276253.4,19.53514418
WI,Wisconsin,2013,55647.7,283791.4,19.60866326
WI,Wisconsin,2014,56641.2,296169.9,19.12456330
WI,Wisconsin,2015,57972.0,308304.5,18.80348811
WI,Wisconsin,2016,57641.8,315420.0,18.27461797
WI,Wisconsin,2017,56187.8,321886.8,17.45576395
WI,Wisconsin,2018,57579.8,335144.3,17.18059952
WI,Wisconsin,2019,60258.5,346906.6,17.37023741
WI,Wisconsin,2020,58606.8,343272.2,17.07298173
WI,Wisconsin,2021,62041.0,368880.4,16.81873041
WI,Wisconsin,2022,66250.2,400621.4,16.53685999
WI,Wisconsin,2023,71255.4,428447.1,16.63108468
WY,Wyoming,2000,973.9,17153.7,5.67749232
WY,Wyoming,2001,1328.4,18741.7,7.08793759
WY,Wyoming,2002,955.5,19160.8,4.98674377
WY,Wyoming,2003,1145.9,21199.0,5.40544365
WY,Wyoming,2004,1306.4,23418.1,5.57859092
WY,Wyoming,2005,1509.4,27530.2,5.48270626
WY,Wyoming,2006,1891.4,32692.2,5.78547788
WY,Wyoming,2007,2871.9,36912.8,7.78022800
WY,Wyoming,2008,3414.0,42694.6,7.99632740
WY,Wyoming,2009,1555.3,36282.2,4.28667501
WY,Wyoming,2010,1697.6,37567.5,4.51879949
WY,Wyoming,2011,2053.1,39615.1,5.18261976
WY,Wyoming,2012,2511.0,38679.3,6.49184447
WY,Wyoming,2013,1872.9,39365.6,4.75770724
WY,Wyoming,2014,1675.5,40573.9,4.12950197
WY,Wyoming,2015,2213.5,38624.8,5.73077401
WY,Wyoming,2016,1620.3,36105.9,4.48763222
WY,Wyoming,2017,1987.0,37620.3,5.28172290
WY,Wyoming,2018,2565.1,39614.5,6.47515430
WY,Wyoming,2019,2856.8,40029.5,7.13673666
WY,Wyoming,2020,1991.6,36709.6,5.42528385
WY,Wyoming,2021,3182.1,42319.1,7.51929980
WY,Wyoming,2022,4473.5,49782.6,8.98607144
WY,Wyoming,2023,4406.2,51990.5,8.47500986
